"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: threadCount"
"benchmarks.SynchronizationBenchmarkTest.testAtomic","thrpt",1,30,174213158.362193,338911.461151,"ops/s",1
"benchmarks.SynchronizationBenchmarkTest.testAtomic:·async","thrpt",1,1,NaN,NaN,"---",1
"benchmarks.SynchronizationBenchmarkTest.testAtomic:·cpi","thrpt",1,1,0.844022,NaN,"clks/insn",1
"benchmarks.SynchronizationBenchmarkTest.testAtomic:·ipc","thrpt",1,1,1.184803,NaN,"insns/clk",1
"benchmarks.SynchronizationBenchmarkTest.testAtomic:·perf","thrpt",1,1,NaN,NaN,"---",1
"benchmarks.SynchronizationBenchmarkTest.testNonVolatileNumber","thrpt",1,30,66183667.495268,657723.958858,"ops/s",1
"benchmarks.SynchronizationBenchmarkTest.testNonVolatileNumber:·async","thrpt",1,1,NaN,NaN,"---",1
"benchmarks.SynchronizationBenchmarkTest.testNonVolatileNumber:·cpi","thrpt",1,1,1.188144,NaN,"clks/insn",1
"benchmarks.SynchronizationBenchmarkTest.testNonVolatileNumber:·ipc","thrpt",1,1,0.841649,NaN,"insns/clk",1
"benchmarks.SynchronizationBenchmarkTest.testNonVolatileNumber:·perf","thrpt",1,1,NaN,NaN,"---",1
"benchmarks.SynchronizationBenchmarkTest.testVolatile","thrpt",1,30,51867026.227959,88730.977552,"ops/s",1
"benchmarks.SynchronizationBenchmarkTest.testVolatile:·async","thrpt",1,1,NaN,NaN,"---",1
"benchmarks.SynchronizationBenchmarkTest.testVolatile:·cpi","thrpt",1,1,1.659303,NaN,"clks/insn",1
"benchmarks.SynchronizationBenchmarkTest.testVolatile:·ipc","thrpt",1,1,0.602663,NaN,"insns/clk",1
"benchmarks.SynchronizationBenchmarkTest.testVolatile:·perf","thrpt",1,1,NaN,NaN,"---",1
