"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: threadCount"
"benchmarks.SynchronizationBenchmarkTest.testAtomic","thrpt",8,30,56050911.182239,700937.366756,"ops/s",8
"benchmarks.SynchronizationBenchmarkTest.testAtomic:·async","thrpt",8,1,NaN,NaN,"---",8
"benchmarks.SynchronizationBenchmarkTest.testAtomic:·cpi","thrpt",8,1,18.093979,NaN,"clks/insn",8
"benchmarks.SynchronizationBenchmarkTest.testAtomic:·ipc","thrpt",8,1,0.055267,NaN,"insns/clk",8
"benchmarks.SynchronizationBenchmarkTest.testAtomic:·perf","thrpt",8,1,NaN,NaN,"---",8
"benchmarks.SynchronizationBenchmarkTest.testNonVolatileNumber","thrpt",8,30,26348275.299404,384253.039958,"ops/s",8
"benchmarks.SynchronizationBenchmarkTest.testNonVolatileNumber:·async","thrpt",8,1,NaN,NaN,"---",8
"benchmarks.SynchronizationBenchmarkTest.testNonVolatileNumber:·cpi","thrpt",8,1,2.222957,NaN,"clks/insn",8
"benchmarks.SynchronizationBenchmarkTest.testNonVolatileNumber:·ipc","thrpt",8,1,0.449851,NaN,"insns/clk",8
"benchmarks.SynchronizationBenchmarkTest.testNonVolatileNumber:·perf","thrpt",8,1,NaN,NaN,"---",8
"benchmarks.SynchronizationBenchmarkTest.testVolatile","thrpt",8,30,34904094.271509,809007.713463,"ops/s",8
"benchmarks.SynchronizationBenchmarkTest.testVolatile:·async","thrpt",8,1,NaN,NaN,"---",8
"benchmarks.SynchronizationBenchmarkTest.testVolatile:·cpi","thrpt",8,1,1.941941,NaN,"clks/insn",8
"benchmarks.SynchronizationBenchmarkTest.testVolatile:·ipc","thrpt",8,1,0.514949,NaN,"insns/clk",8
"benchmarks.SynchronizationBenchmarkTest.testVolatile:·perf","thrpt",8,1,NaN,NaN,"---",8
