"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: threadCount"
"benchmarks.SynchronizationBenchmarkTest.testAtomic","thrpt",8,30,44064506.294445,296665.242830,"ops/s",8
"benchmarks.SynchronizationBenchmarkTest.testAtomic:·async","thrpt",8,1,NaN,NaN,"---",8
"benchmarks.SynchronizationBenchmarkTest.testAtomic:·cpi","thrpt",8,1,19.428612,NaN,"clks/insn",8
"benchmarks.SynchronizationBenchmarkTest.testAtomic:·ipc","thrpt",8,1,0.051470,NaN,"insns/clk",8
"benchmarks.SynchronizationBenchmarkTest.testAtomic:·perf","thrpt",8,1,NaN,NaN,"---",8
"benchmarks.SynchronizationBenchmarkTest.testNonVolatileNumber","thrpt",8,30,5999641.352703,325310.203617,"ops/s",8
"benchmarks.SynchronizationBenchmarkTest.testNonVolatileNumber:·async","thrpt",8,1,NaN,NaN,"---",8
"benchmarks.SynchronizationBenchmarkTest.testNonVolatileNumber:·cpi","thrpt",8,1,3.800480,NaN,"clks/insn",8
"benchmarks.SynchronizationBenchmarkTest.testNonVolatileNumber:·ipc","thrpt",8,1,0.263125,NaN,"insns/clk",8
"benchmarks.SynchronizationBenchmarkTest.testNonVolatileNumber:·perf","thrpt",8,1,NaN,NaN,"---",8
"benchmarks.SynchronizationBenchmarkTest.testVolatile","thrpt",8,30,5643268.044336,67274.533431,"ops/s",8
"benchmarks.SynchronizationBenchmarkTest.testVolatile:·async","thrpt",8,1,NaN,NaN,"---",8
"benchmarks.SynchronizationBenchmarkTest.testVolatile:·cpi","thrpt",8,1,4.083331,NaN,"clks/insn",8
"benchmarks.SynchronizationBenchmarkTest.testVolatile:·ipc","thrpt",8,1,0.244898,NaN,"insns/clk",8
"benchmarks.SynchronizationBenchmarkTest.testVolatile:·perf","thrpt",8,1,NaN,NaN,"---",8
